+--
Epoch,Training Loss,Training Accuracy,Testing Loss,Testing Accuracy,Duration
0, 0.093118, 0.1578, 0.089576, 0.2329, 1327.402
1, 0.088045, 0.2471, 0.089564, 0.2369, 1321.288
2, 0.084935, 0.2925, 0.085415, 0.2843, 1325.333
3, 0.082661, 0.3178, 0.082718, 0.3095, 1331.424
4, 0.079576, 0.3481, 0.081163, 0.3296, 1330.764
5, 0.076814, 0.3782, 0.082228, 0.3296, 1335.766
6, 0.073039, 0.4131, 0.079456, 0.3438, 1325.509
7, 0.068997, 0.4492, 0.077724, 0.3518, 1312.806
8, 0.064751, 0.4839, 0.078810, 0.3649, 1323.804
9, 0.059495, 0.5205, 0.077749, 0.3730, 1324.514
10, 0.054618, 0.5489, 0.078436, 0.3558, 1324.387
11, 0.050557, 0.5638, 0.079757, 0.3558, 1323.447
12, 0.048005, 0.5723, 0.079202, 0.3538, 1310.144
13, 0.046630, 0.5754, 0.078163, 0.3720, 1292.708
14, 0.045687, 0.5764, 0.078787, 0.3679, 1295.825
15, 0.044757, 0.5786, 0.077652, 0.3740, 1308.625
16, 0.044300, 0.5786, 0.076204, 0.3821, 1320.638
17, 0.044073, 0.5798, 0.076924, 0.3740, 1314.227
18, 0.043891, 0.5800, 0.076996, 0.3851, 1298.309
19, 0.043752, 0.5800, 0.077108, 0.3730, 1304.485
20, 0.043771, 0.5806, 0.077908, 0.3700, 1325.924
21, 0.043486, 0.5804, 0.076280, 0.3669, 1325.737
22, 0.043395, 0.5806, 0.077461, 0.3639, 1322.619
23, 0.043198, 0.5806, 0.075633, 0.3821, 1306.415
24, 0.043172, 0.5812, 0.076773, 0.3750, 1295.752
25, 0.043029, 0.5813, 0.076901, 0.3720, 1301.413
26, 0.042847, 0.5813, 0.076293, 0.3700, 1322.178
27, 0.042823, 0.5812, 0.076010, 0.3740, 1322.103
28, 0.042855, 0.5817, 0.076651, 0.3639, 1318.941
29, 0.042776, 0.5816, 0.076650, 0.3851, 1299.670
30, 0.042628, 0.5812, 0.076896, 0.3639, 1302.264
31, 0.042598, 0.5815, 0.075603, 0.3780, 1316.786
32, 0.042525, 0.5820, 0.076816, 0.3720, 1321.416
33, 0.042423, 0.5821, 0.076467, 0.3690, 1323.990
34, 0.042436, 0.5819, 0.076412, 0.3720, 1307.441
35, 0.042407, 0.5823, 0.076762, 0.3700, 1308.453
36, 0.042351, 0.5824, 0.076162, 0.3720, 1304.568
37, 0.042259, 0.5824, 0.076193, 0.3589, 1327.962
38, 0.042259, 0.5823, 0.075765, 0.3720, 1323.129
39, 0.042238, 0.5826, 0.076454, 0.3760, 1319.624
40, 0.042231, 0.5825, 0.076175, 0.3871, 1310.743
41, 0.042187, 0.5826, 0.075654, 0.3911, 1318.680
42, 0.042217, 0.5824, 0.075843, 0.3710, 1325.717
43, 0.042157, 0.5827, 0.076011, 0.3679, 1322.723
44, 0.042153, 0.5826, 0.076050, 0.3770, 1322.253
45, 0.042112, 0.5826, 0.076226, 0.3800, 1303.751
46, 0.042112, 0.5826, 0.075703, 0.3901, 1303.350
47, 0.042080, 0.5830, 0.075707, 0.3720, 1302.869
48, 0.042061, 0.5829, 0.075964, 0.3730, 1335.336
49, 0.042046, 0.5830, 0.076035, 0.3780, 1323.252
50, 0.042059, 0.5827, 0.075512, 0.3730, 1319.883
51, 0.042026, 0.5831, 0.075940, 0.3750, 1311.884
52, 0.042051, 0.5827, 0.076109, 0.3891, 1295.096
53, 0.042048, 0.5830, 0.076043, 0.3760, 1322.824
54, 0.042002, 0.5833, 0.076033, 0.3821, 1324.401
55, 0.041970, 0.5835, 0.075819, 0.3861, 1324.848
56, 0.042007, 0.5830, 0.075852, 0.3851, 1303.954
57, 0.041949, 0.5836, 0.076169, 0.3740, 1301.223
58, 0.042001, 0.5831, 0.076190, 0.3740, 1304.446
59, 0.041967, 0.5834, 0.076323, 0.3710, 1334.280
60, 0.041999, 0.5831, 0.075950, 0.3810, 1332.802
61, 0.041987, 0.5832, 0.076413, 0.3770, 1327.638
62, 0.041963, 0.5834, 0.076229, 0.3690, 1330.770
63, 0.041987, 0.5832, 0.076403, 0.3690, 1337.613
